Lp.;Title;Equations;Observations;All minimal conflicts;All minimal diagnosis;Minimal conflicts;Minimal diagnosis;Minimal conflicts - GPT;Minimal diagnosis - GPT
78;Example 18;"A1: a & b = x01
O1: b | c = x02
A2: c & d = x03
O2: d | e = x04
O3: b | x02 = x05
A3: d & x04 = x06
A4: x01 & x05 = x07
O4: x03 | x06 = x08
O5: f | x07 = h
A5: x07 & x08 = i
A6: g & x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 0
j = 0";"A5, A6, O5
A1, A4, O1, O3, O5
A2, A3, A6, O2, O4
A1, A4, A5, A6, O1, O3
A2, A3, A5, O2, O4, O5
A1, A2, A3, A4, A5, O1, O2, O3, O4";"A1, A2, A5
A1, A2, A6
A1, A2, O5
A1, A3, A5
A1, A3, A6
A1, A3, O5
A1, A5, A6
A1, A5, O2
A1, A5, O4
A1, A6, O2
A1, A6, O4
A1, A6, O5
A1, O2, O5
A1, O4, O5
A2, A4, A5
A2, A4, A6
A2, A4, O5
A2, A5, O1
A2, A5, O3
A2, A5, O5
A2, A6, O1
A2, A6, O3
A2, A6, O5
A2, O1, O5
A2, O3, O5
A3, A4, A5
A3, A4, A6
A3, A4, O5
A3, A5, O1
A3, A5, O3
A3, A5, O5
A3, A6, O1
A3, A6, O3
A3, A6, O5
A3, O1, O5
A3, O3, O5
A4, A5, A6
A4, A5, O2
A4, A5, O4
A4, A6, O2
A4, A6, O4
A4, A6, O5
A4, O2, O5
A4, O4, O5
A5, A6, O1
A5, A6, O3
A5, A6, O5
A5, O1, O2
A5, O1, O4
A5, O2, O3
A5, O2, O5
A5, O3, O4
A5, O4, O5
A6, O1, O2
A6, O1, O4
A6, O1, O5
A6, O2, O3
A6, O2, O5
A6, O3, O4
A6, O3, O5
A6, O4, O5
O1, O2, O5
O1, O4, O5
O2, O3, O5
O3, O4, O5";"A2, A3, A6, O2, O4
A1, A2, A3, A4, A5, O1, O2, O3, O4";"A2
A3
O2
O4
A1, A6
A4, A6
A5, A6
A6, O1
A6, O3";;"O3, A6
A2
O1, A6
O4
A6, A4
A6, A5
A3
A6, A1
O2"
79;Example 18;"A1: a & b = x01
O1: b | c = x02
A2: c & d = x03
O2: d | e = x04
O3: b | x02 = x05
A3: d & x04 = x06
A4: x01 & x05 = x07
O4: x03 | x06 = x08
O5: f | x07 = h
A5: x07 & x08 = i
A6: g & x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 0
j = 1";"A5, A6, O5
A1, A4, O1, O3, O5
A2, A3, A6, O2, O4
A1, A4, A5, A6, O1, O3
A2, A3, A5, O2, O4, O5
A1, A2, A3, A4, A5, O1, O2, O3, O4";"A1, A2, A5
A1, A2, A6
A1, A2, O5
A1, A3, A5
A1, A3, A6
A1, A3, O5
A1, A5, A6
A1, A5, O2
A1, A5, O4
A1, A6, O2
A1, A6, O4
A1, A6, O5
A1, O2, O5
A1, O4, O5
A2, A4, A5
A2, A4, A6
A2, A4, O5
A2, A5, O1
A2, A5, O3
A2, A5, O5
A2, A6, O1
A2, A6, O3
A2, A6, O5
A2, O1, O5
A2, O3, O5
A3, A4, A5
A3, A4, A6
A3, A4, O5
A3, A5, O1
A3, A5, O3
A3, A5, O5
A3, A6, O1
A3, A6, O3
A3, A6, O5
A3, O1, O5
A3, O3, O5
A4, A5, A6
A4, A5, O2
A4, A5, O4
A4, A6, O2
A4, A6, O4
A4, A6, O5
A4, O2, O5
A4, O4, O5
A5, A6, O1
A5, A6, O3
A5, A6, O5
A5, O1, O2
A5, O1, O4
A5, O2, O3
A5, O2, O5
A5, O3, O4
A5, O4, O5
A6, O1, O2
A6, O1, O4
A6, O1, O5
A6, O2, O3
A6, O2, O5
A6, O3, O4
A6, O3, O5
A6, O4, O5
O1, O2, O5
O1, O4, O5
O2, O3, O5
O3, O4, O5";"A1, A4, A5, A6, O1, O3
A1, A2, A3, A4, A5, O1, O2, O3, O4";"A1
A4
A5
O1
O3
A2, A6
A3, A6
A6, O2
A6, O4";;"O1
O3
A2, A6
A6, A3
A6, O2
A1
A4
A5
A6, O4"
80;Example 18;"A1: a & b = x01
O1: b | c = x02
A2: c & d = x03
O2: d | e = x04
O3: b | x02 = x05
A3: d & x04 = x06
A4: x01 & x05 = x07
O4: x03 | x06 = x08
O5: f | x07 = h
A5: x07 & x08 = i
A6: g & x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 1
j = 0";"A5, A6, O5
A1, A4, O1, O3, O5
A2, A3, A6, O2, O4
A1, A4, A5, A6, O1, O3
A2, A3, A5, O2, O4, O5
A1, A2, A3, A4, A5, O1, O2, O3, O4";"A1, A2, A5
A1, A2, A6
A1, A2, O5
A1, A3, A5
A1, A3, A6
A1, A3, O5
A1, A5, A6
A1, A5, O2
A1, A5, O4
A1, A6, O2
A1, A6, O4
A1, A6, O5
A1, O2, O5
A1, O4, O5
A2, A4, A5
A2, A4, A6
A2, A4, O5
A2, A5, O1
A2, A5, O3
A2, A5, O5
A2, A6, O1
A2, A6, O3
A2, A6, O5
A2, O1, O5
A2, O3, O5
A3, A4, A5
A3, A4, A6
A3, A4, O5
A3, A5, O1
A3, A5, O3
A3, A5, O5
A3, A6, O1
A3, A6, O3
A3, A6, O5
A3, O1, O5
A3, O3, O5
A4, A5, A6
A4, A5, O2
A4, A5, O4
A4, A6, O2
A4, A6, O4
A4, A6, O5
A4, O2, O5
A4, O4, O5
A5, A6, O1
A5, A6, O3
A5, A6, O5
A5, O1, O2
A5, O1, O4
A5, O2, O3
A5, O2, O5
A5, O3, O4
A5, O4, O5
A6, O1, O2
A6, O1, O4
A6, O1, O5
A6, O2, O3
A6, O2, O5
A6, O3, O4
A6, O3, O5
A6, O4, O5
O1, O2, O5
O1, O4, O5
O2, O3, O5
O3, O4, O5";"A5, A6, O5
A2, A3, A6, O2, O4
A1, A4, A5, A6, O1, O3";"A6
A2, A5
A3, A5
A5, O2
A5, O4
A1, A2, O5
A1, A3, O5
A1, O2, O5
A1, O4, O5
A2, A4, O5
A2, O1, O5
A2, O3, O5
A3, A4, O5
A3, O1, O5
A3, O3, O5
A4, O2, O5
A4, O4, O5
O1, O2, O5
O1, O4, O5
O2, O3, O5
O3, O4, O5";;"A5, O4
O3, O5, O4
A2, O5, A1
O5, A4, A3
O2, A5
O2, O5, A1
O3, O2, O5
O5, A4, O4
A2, A5
A5, A3
O3, O5, A3
A2, O5, A4
O3, A2, O5
O1, O5, O4
A6
O1, O5, A3
O1, O2, O5
A1, O5, O4
O2, O5, A4
O1, A2, O5
O5, A3, A1"
81;Example 18;"A1: a & b = x01
O1: b | c = x02
A2: c & d = x03
O2: d | e = x04
O3: b | x02 = x05
A3: d & x04 = x06
A4: x01 & x05 = x07
O4: x03 | x06 = x08
O5: f | x07 = h
A5: x07 & x08 = i
A6: g & x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 0
i = 0
j = 0";"A5, A6, O5
A1, A4, O1, O3, O5
A2, A3, A6, O2, O4
A1, A4, A5, A6, O1, O3
A2, A3, A5, O2, O4, O5
A1, A2, A3, A4, A5, O1, O2, O3, O4";"A1, A2, A5
A1, A2, A6
A1, A2, O5
A1, A3, A5
A1, A3, A6
A1, A3, O5
A1, A5, A6
A1, A5, O2
A1, A5, O4
A1, A6, O2
A1, A6, O4
A1, A6, O5
A1, O2, O5
A1, O4, O5
A2, A4, A5
A2, A4, A6
A2, A4, O5
A2, A5, O1
A2, A5, O3
A2, A5, O5
A2, A6, O1
A2, A6, O3
A2, A6, O5
A2, O1, O5
A2, O3, O5
A3, A4, A5
A3, A4, A6
A3, A4, O5
A3, A5, O1
A3, A5, O3
A3, A5, O5
A3, A6, O1
A3, A6, O3
A3, A6, O5
A3, O1, O5
A3, O3, O5
A4, A5, A6
A4, A5, O2
A4, A5, O4
A4, A6, O2
A4, A6, O4
A4, A6, O5
A4, O2, O5
A4, O4, O5
A5, A6, O1
A5, A6, O3
A5, A6, O5
A5, O1, O2
A5, O1, O4
A5, O2, O3
A5, O2, O5
A5, O3, O4
A5, O4, O5
A6, O1, O2
A6, O1, O4
A6, O1, O5
A6, O2, O3
A6, O2, O5
A6, O3, O4
A6, O3, O5
A6, O4, O5
O1, O2, O5
O1, O4, O5
O2, O3, O5
O3, O4, O5";"A5, A6, O5
A1, A4, O1, O3, O5
A2, A3, A6, O2, O4
A2, A3, A5, O2, O4, O5
A1, A2, A3, A4, A5, O1, O2, O3, O4";"A2, O5
A3, O5
O2, O5
O4, O5
A1, A2, A5
A1, A2, A6
A1, A3, A5
A1, A3, A6
A1, A5, A6
A1, A5, O2
A1, A5, O4
A1, A6, O2
A1, A6, O4
A1, A6, O5
A2, A4, A5
A2, A4, A6
A2, A5, O1
A2, A5, O3
A2, A6, O1
A2, A6, O3
A3, A4, A5
A3, A4, A6
A3, A5, O1
A3, A5, O3
A3, A6, O1
A3, A6, O3
A4, A5, A6
A4, A5, O2
A4, A5, O4
A4, A6, O2
A4, A6, O4
A4, A6, O5
A5, A6, O1
A5, A6, O3
A5, A6, O5
A5, O1, O2
A5, O1, O4
A5, O2, O3
A5, O3, O4
A6, O1, O2
A6, O1, O4
A6, O1, O5
A6, O2, O3
A6, O3, O4
A6, O3, O5";;"A2, O3, A5
A6, A4, A3
A2, A6, A1
O4, A5, A1
O1, A5, O4
A6, A4, O2
A2, A6, A4
O3, A5, A3
A5, A3, A1
O1, A5, A3
A2, A5, A4
O1, O2, A5
O1, A6, A2
O3, A6, O4
O1, A6, O5
O2, A5, A4
O4, A6, A1
O3, A6, A2
O3, A6, A5
O3, A6, A3
O2, A5, A1
O3, A6, O2
A6, A4, O4
A6, O5, A5
O5, O4
A6, O5, A4
O1, A6, O4
A5, A3, A4
O1, A2, A5
O2, O5
O1, A6, O2
A5, O4, A4
A6, A1, O2
A6, O5, A1
O1, A6, A5
A6, A3, A1
O3, A5, O4
O3, A6, O5
O5, A3
A6, A5, A4
O3, A5, O2
O1, A6, A3
A6, A5, A1
A2, O5
A2, A5, A1"
90;Example 20;"M1: a * b * c = x01
M2: c * d * e = x02
M3: e * f * g = x03
A1: a + x01 + x02 = h
M4: g * x02 * x03 = i ";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 3
i = 1";"A1, M1, M2
M2, M3, M4
A1, M1, M3, M4";"A1, M2
A1, M3
A1, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";;;;
91;Example 20;"M1: a * b * c = x01
M2: c * d * e = x02
M3: e * f * g = x03
A1: a + x01 + x02 = h
M4: g * x02 * x03 = i ";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 2
i = 1";"A1, M1, M2
M2, M3, M4
A1, M1, M3, M4";"A1, M2
A1, M3
A1, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";"A1, M1, M2
A1, M1, M3, M4";"A1
M1
M2, M3
M2, M4";;"M1
M4, M2
M3, M2
A1"
92;Example 20;"M1: a * b * c = x01
M2: c * d * e = x02
M3: e * f * g = x03
A1: a + x01 + x02 = h
M4: g * x02 * x03 = i ";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 3
i = 2";"A1, M1, M2
M2, M3, M4
A1, M1, M3, M4";"A1, M2
A1, M3
A1, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";"M2, M3, M4
A1, M1, M3, M4";"M3
M4
A1, M2
M1, M2";;"M4
M1, M2
M2, A1
M3"
93;Example 20;"M1: a * b * c = x01
M2: c * d * e = x02
M3: e * f * g = x03
A1: a + x01 + x02 = h
M4: g * x02 * x03 = i ";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 2
i = 2";"A1, M1, M2
M2, M3, M4
A1, M1, M3, M4";"A1, M2
A1, M3
A1, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";"A1, M1, M2
M2, M3, M4
A1, M1, M3, M4";"A1, M2
A1, M3
A1, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";;"M3, M2
M4, M2
M1, M2
M1, M4
M3, A1
M1, M3
M4, A1
M2, A1"
94;Example 21;"O1: a | b | c = x01
O2: c | d | e = x02
O3: e | f | g = x03
A1: a & x01 & x02 = h
O4: g | x02 | x03 = i ";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 1";"A1, O1, O2
O2, O3, O4
A1, O1, O3, O4";"A1, O2
A1, O3
A1, O4
O1, O2
O1, O3
O1, O4
O2, O3
O2, O4";;;;
95;Example 21;"O1: a | b | c = x01
O2: c | d | e = x02
O3: e | f | g = x03
A1: a & x01 & x02 = h
O4: g | x02 | x03 = i ";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 0";"A1, O1, O2
O2, O3, O4
A1, O1, O3, O4";"A1, O2
A1, O3
A1, O4
O1, O2
O1, O3
O1, O4
O2, O3
O2, O4";"O2, O3, O4
A1, O1, O3, O4";"O3
O4
A1, O2
O1, O2";;"O3
O4
O2, A1
O1, O2"
96;Example 21;"O1: a | b | c = x01
O2: c | d | e = x02
O3: e | f | g = x03
A1: a & x01 & x02 = h
O4: g | x02 | x03 = i ";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 0
i = 1";"A1, O1, O2
O2, O3, O4
A1, O1, O3, O4";"A1, O2
A1, O3
A1, O4
O1, O2
O1, O3
O1, O4
O2, O3
O2, O4";A1, O1, O2;"A1
O1
O2";;"O1
O2
A1"
97;Example 21;"O1: a | b | c = x01
O2: c | d | e = x02
O3: e | f | g = x03
A1: a & x01 & x02 = h
O4: g | x02 | x03 = i ";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 0
i = 0";"A1, O1, O2
O2, O3, O4
A1, O1, O3, O4";"A1, O2
A1, O3
A1, O4
O1, O2
O1, O3
O1, O4
O2, O3
O2, O4";"A1, O1, O2
O2, O3, O4
A1, O1, O3, O4";"A1, O2
A1, O3
A1, O4
O1, O2
O1, O3
O1, O4
O2, O3
O2, O4";;"O3, O2
O1, O2
O4, A1
O3, A1
O1, O4
O2, O4
O2, A1
O1, O3"
98;Example 22 xor nor nand;"NA1: a ~& b = x01
NO2: c ~| d = x02
NX1: x01 ~^ x02 = e";"a = 1
b = 1
c = 1
d = 1
e = 1";NA1, NO2, NX1;"NA1
NO2
NX1";;;;
99;Example 22 xor nor nand;"NA1: a ~& b = x01
NO2: c ~| d = x02
NX1: x01 ~^ x02 = e";"a = 1
b = 1
c = 1
d = 1
e = 0";NA1, NO2, NX1;"NA1
NO2
NX1";NA1, NO2, NX1;"NA1
NO2
NX1";;"NO2
NX1
NA1"
